代码,名称,最新价,涨跌幅,主力净流入,主力占比,超大单净流入,超大单占比,大单净流入,大单占比,中单净流入,中单占比,小单净流入,小单占比,5日主力净流入,10日主力净流入
BK0473,证券Ⅱ,141971.35,6.43,10561327616.0,11.69,8862411776.0,9.81,1698915840.0,1.88,-4620534784.0,-5.11,-5940793088.0,-6.57,5054714368.0,6683849264.0
BK1287,工业金属,3654.44,4.19,5457113344.0,5.34,3648461568.0,3.57,1808651776.0,1.77,-993739520.0,-0.97,-4463329792.0,-4.37,-925300736.0,-133465856.0
BK1027,小金属,5034.48,6.99,4072449792.0,4.37,4608657920.0,4.94,-536208128.0,-0.57,-2375683584.0,-2.55,-1681910272.0,-1.8,685087232.0,6340553216.0
BK0457,电网设备,40019.06,1.72,3480871424.0,4.75,2854525696.0,3.89,626345728.0,0.85,-1117571584.0,-1.52,-2378564096.0,-3.24,2936960512.0,-6233154528.0
BK0737,软件开发,1102.21,1.9,2789606400.0,4.04,2227732992.0,3.23,561873408.0,0.81,-1108219648.0,-1.61,-1586728960.0,-2.3,-1425874832.0,-6250277808.0
BK0538,化学制品,34323.98,2.12,2253298176.0,2.71,2166931200.0,2.61,86366976.0,0.1,-958489344.0,-1.15,-1296843520.0,-1.56,-3176271872.0,-4074496768.0
BK1031,光伏设备,1379.57,1.01,1414546176.0,2.12,1608666112.0,2.41,-194119936.0,-0.29,-1000241664.0,-1.5,-405880832.0,-0.61,-1743504384.0,-4624257280.0
BK1019,化学原料,1054.63,3.68,1386273760.0,5.33,1585880800.0,6.09,-199607040.0,-0.77,-558840576.0,-2.15,-819201792.0,-3.15,-1381160288.0,-1025110608.0
BK0474,保险Ⅱ,1303.39,7.18,1248426496.0,6.1,1094393600.0,5.34,154032896.0,0.75,-436565504.0,-2.13,-811861040.0,-3.96,-2291738192.0,-687953056.0
BK1033,电池,1681.02,2.33,1248112384.0,0.78,1365046528.0,0.85,-116934144.0,-0.07,-409483264.0,-0.25,-723676928.0,-0.45,-5480672000.0,-3180227584.0
BK0731,农化制品,1647.08,3.68,1122578128.0,3.88,984039888.0,3.4,138538240.0,0.48,-737947392.0,-2.55,-376825856.0,-1.3,-1744056656.0,-988820784.0
BK1039,电子化学品Ⅱ,4420.59,3.23,1046123008.0,1.23,5975296.0,0.01,1040147712.0,1.23,458212864.0,0.54,-1502872832.0,-1.77,-596257792.0,-3804777728.0
BK0450,航运港口,11503.9,0.75,880909296.0,6.34,475746352.0,3.42,405162944.0,2.91,-151535856.0,-1.09,-736732912.0,-5.3,1178251376.0,-550937712.0
BK1220,广告营销,4711.31,1.98,785549904.0,4.61,701402368.0,4.12,84147536.0,0.49,-305348096.0,-1.79,-480201728.0,-2.82,-594407424.0,-2494145264.0
BK1238,IT服务Ⅱ,8471.54,1.5,757139968.0,1.16,136354304.0,0.21,620785664.0,0.95,-129750528.0,-0.2,-540112384.0,-0.83,944151952.0,-5569016416.0
BK1288,金属新材料,7491.8,1.07,601944064.0,1.71,-31054336.0,-0.09,632998400.0,1.8,116288768.0,0.33,-655321600.0,-1.86,1976046496.0,3069073664.0
BK0732,贵金属,2328.39,3.89,571498432.0,2.8,398352064.0,1.95,173146368.0,0.85,-553248000.0,-2.71,-18250496.0,-0.09,-510962528.0,-2952828320.0
BK0738,多元金融,588.5,3.57,567260288.0,6.38,363367104.0,4.08,203893184.0,2.29,-56157136.0,-0.63,-511103152.0,-5.74,369832208.0,-95561178.0
BK1015,能源金属,1093.52,4.35,507223040.0,1.51,855826944.0,2.54,-348603904.0,-1.04,-552078592.0,-1.64,44855552.0,0.13,-5761911088.0,1643319616.0
BK1223,其他电子Ⅱ,18531.66,1.4,484663552.0,1.14,-78902784.0,-0.19,563566336.0,1.33,-322142208.0,-0.76,-162521600.0,-0.38,3379562496.0,572611856.0
BK1229,地面兵装Ⅱ,3735.08,0.18,436788976.0,5.63,441060864.0,5.68,-4271888.0,-0.06,-313984544.0,-4.04,-122804432.0,-1.58,-75673989.0,-170398867.0
BK0475,银行Ⅱ,4002.23,0.46,434859520.0,1.35,115983616.0,0.36,318875904.0,0.99,-324276224.0,-1.01,-110583296.0,-0.34,-4638286192.0,-849416048.0
BK0546,玻璃玻纤,86105.5,3.33,423022848.0,1.06,846772224.0,2.12,-423749376.0,-1.06,99110144.0,0.25,-522132992.0,-1.31,871316736.0,3653135696.0
BK1235,环境治理,2455.04,0.83,405010144.0,2.16,305603296.0,1.63,99406848.0,0.53,-39554048.0,-0.21,-365165312.0,-1.95,-254917104.0,-417266144.0
BK0736,通信服务,1171.39,2.07,378062480.0,1.53,188236944.0,0.76,189825536.0,0.77,-80949504.0,-0.33,-294080000.0,-1.19,472213280.0,-2112522928.0
BK1226,普钢,745.4,0.17,349229744.0,5.4,283110944.0,4.37,66118800.0,1.02,-199100160.0,-3.08,-150129600.0,-2.32,437540688.0,240241376.0
BK1277,白酒Ⅱ,4126.09,1.26,302140368.0,1.81,336612560.0,2.01,-34472192.0,-0.21,-283287808.0,-1.7,-18852832.0,-0.11,-5200568256.0,-7360868656.0
BK1046,游戏Ⅱ,1307.31,2.67,289255408.0,2.06,296911136.0,2.11,-7655728.0,-0.05,-272118016.0,-1.94,-17137152.0,-0.12,-2201376336.0,-3091741648.0
BK0727,医疗服务,1155.81,0.78,233150832.0,1.12,70627184.0,0.34,162523648.0,0.78,-110823680.0,-0.53,-121233920.0,-0.58,1063502512.0,-1149183184.0
BK1247,基础建设,2154.72,-0.3,214288272.0,2.09,175335360.0,1.71,38952912.0,0.38,-70206240.0,-0.69,-138249888.0,-1.35,297705680.0,-1230981712.0
BK1228,冶钢原料,3864.75,2.14,199913808.0,4.28,237389232.0,5.09,-37475424.0,-0.8,-129321312.0,-2.77,-70592496.0,-1.51,-809739718.0,-634854662.0
BK1034,其他电源设备Ⅱ,3562.04,0.51,167668224.0,0.57,36330240.0,0.12,131337984.0,0.44,-171732736.0,-0.58,2833664.0,0.01,1317628864.0,-1195161168.0
BK1236,轨交设备Ⅱ,1800.47,1.42,164577680.0,2.14,168155008.0,2.19,-3577328.0,-0.05,-67368128.0,-0.88,-94412048.0,-1.23,224903152.0,32106608.0
BK1282,饮料乳品,2074.55,1.01,154918192.0,2.59,-11254752.0,-0.19,166172944.0,2.78,-64238384.0,-1.08,-86629984.0,-1.45,-146365056.0,-359038246.0
BK1280,食品加工,4133.02,1.24,131972016.0,3.19,48092528.0,1.16,83879488.0,2.03,-96851120.0,-2.34,-29679200.0,-0.72,-118527070.0,-166673145.0
BK1018,橡胶,1547.99,0.63,129307920.0,2.13,46975808.0,0.77,82332112.0,1.36,41805632.0,0.69,-182457952.0,-3.0,145971427.0,-17162130.0
BK1239,白色家电,3135.27,-0.95,126410736.0,2.07,74331840.0,1.22,52078896.0,0.85,-169042528.0,-2.77,42631792.0,0.7,-908498320.0,-649615616.0
BK1268,互联网电商,2752.93,1.46,100996295.0,2.87,51184839.0,1.45,49811456.0,1.42,-25337840.0,-0.72,-75658464.0,-2.15,-142500414.0,-327171268.0
BK1221,数字媒体,6682.07,3.12,83862816.0,0.7,-102150208.0,-0.85,186013024.0,1.54,-235018144.0,-1.95,151155344.0,1.25,628650160.0,-1027051840.0
BK1269,旅游零售Ⅱ,6276.64,1.11,77591616.0,2.31,96268944.0,2.86,-18677328.0,-0.56,-72286512.0,-2.15,-5305104.0,-0.16,-982959972.0,-591202084.0
BK1219,电视广播Ⅱ,1212.21,1.76,62734763.0,2.44,10953355.0,0.43,51781408.0,2.01,-22830736.0,-0.89,-15417712.0,-0.6,-96870632.0,-590887564.0
BK1224,纺织制造,2514.8,0.7,29887727.0,0.83,449919.0,0.01,29437808.0,0.81,-11697648.0,-0.32,-16850096.0,-0.47,402490571.0,312203906.0
BK0476,装修建材,16741.25,0.49,20035280.0,0.25,-89231520.0,-1.11,109266800.0,1.36,59268096.0,0.74,-71371120.0,-0.89,-336016320.0,-662382560.0
BK1249,焦炭Ⅱ,719.08,1.08,9834910.0,1.14,-5855842.0,-0.68,15690752.0,1.82,-3864654.0,-0.45,-5970256.0,-0.69,-165537855.0,-602290680.0
BK0734,饰品,389.34,0.89,9305980.0,0.63,3518284.0,0.24,5787696.0,0.39,15947616.0,1.08,-25253600.0,-1.71,-146473255.0,-241220699.0
BK1261,种植业,2321.41,0.41,7219840.0,0.2,2813968.0,0.08,4405872.0,0.12,26512016.0,0.75,-28285376.0,-0.8,-374246314.0,-525069427.0
BK1257,农业综合Ⅱ,2131.09,1.32,-1053233.0,-0.73,6767538.0,4.68,-7820771.0,-5.4,-2830172.0,-1.96,4475964.0,3.09,-22023134.0,-23881843.0
BK1243,其他家电Ⅱ,1139.98,-0.67,-6967948.0,-2.82,-1198650.0,-0.49,-5769298.0,-2.34,-2867156.0,-1.16,9835104.0,3.98,694122.0,-3182783.0
BK1259,养殖业,3384.88,0.97,-7142288.0,-0.13,122132352.0,2.14,-129274640.0,-2.27,-203272960.0,-3.57,210415264.0,3.69,-651312208.0,-1178619408.0
BK1274,炼化及贸易,3356.34,1.56,-9380608.0,-0.09,94912704.0,0.95,-104293312.0,-1.04,-79811104.0,-0.8,89191696.0,0.89,-812391200.0,-1746190352.0
BK1020,非金属材料Ⅱ,2726.94,6.59,-12630096.0,-0.07,-60279632.0,-0.35,47649536.0,0.28,110447872.0,0.65,-55056304.0,-0.32,203679696.0,375774272.0
BK1260,渔业,892.5,0.05,-15518510.0,-5.19,-1925325.0,-0.64,-13593185.0,-4.55,-8736755.0,-2.92,24255264.0,8.11,-56613391.0,-120986919.0
BK1253,医疗美容,1058.57,-1.57,-17018013.0,-2.61,-16095872.0,-2.47,-922141.0,-0.14,-20201668.0,-3.1,30229095.0,4.64,-126321858.0,-182386474.0
BK0420,航空机场,4211.63,-0.23,-20526448.0,-0.4,65134976.0,1.26,-85661424.0,-1.66,7458224.0,0.14,13068240.0,0.25,-719552448.0,-585088896.0
BK1045,房地产服务,995.81,-0.26,-21653529.0,-2.2,-7770030.0,-0.79,-13883499.0,-1.41,-21143184.0,-2.14,42796720.0,4.34,-157984116.0,-375312068.0
BK0440,家居用品,46778.65,-0.04,-25038960.0,-0.31,-121170896.0,-1.49,96131936.0,1.18,57462224.0,0.71,-29539008.0,-0.36,-299804944.0,-343524112.0
BK1271,酒店餐饮,2045.08,-0.6,-29393145.0,-3.15,-15737595.0,-1.69,-13655550.0,-1.47,-4417024.0,-0.47,33810160.0,3.63,-123890628.0,-271007709.0
BK0735,计算机设备,1676.93,0.39,-34794752.0,-0.07,281713152.0,0.54,-316507904.0,-0.6,-349892352.0,-0.67,324737792.0,0.62,4254032912.0,-3936660960.0
BK1016,汽车服务,912.61,-0.5,-35803307.0,-3.11,14300709.0,1.24,-50104016.0,-4.35,13449936.0,1.17,23502016.0,2.04,252117066.0,354763597.0
BK1240,厨卫电器,5473.62,-0.48,-43226440.0,-5.95,-14694777.0,-2.02,-28531663.0,-3.93,-7706454.0,-1.06,50932896.0,7.01,-157753990.0,-109469870.0
BK1252,化妆品,1965.57,-0.83,-44314000.0,-2.03,-63141632.0,-2.9,18827632.0,0.86,-2275792.0,-0.1,48253024.0,2.21,-219077090.0,-533848796.0
BK1270,专业连锁Ⅱ,1331.06,-0.41,-45040483.0,-4.5,-25742826.0,-2.57,-19297657.0,-1.93,17110384.0,1.71,27930096.0,2.79,-204704325.0,-193979193.0
BK1251,个护用品,583.61,-1.17,-51231268.0,-5.12,-25735000.0,-2.57,-25496268.0,-2.55,-7739520.0,-0.77,58970800.0,5.89,-95698314.0,-151020660.0
BK1275,油服工程,1768.42,1.29,-51453492.0,-1.64,-836068.0,-0.03,-50617424.0,-1.61,-61269680.0,-1.95,95700576.0,3.05,-509495737.0,-975125069.0
BK1250,煤炭开采,1760.27,2.63,-52947408.0,-0.37,232189504.0,1.6,-285136912.0,-1.97,282824448.0,1.95,-229876992.0,-1.59,-3525235904.0,-8491335504.0
BK1272,旅游及景区,2834.31,-0.57,-53551177.0,-2.08,-8091241.0,-0.31,-45459936.0,-1.77,-41742480.0,-1.62,95293664.0,3.7,-661220159.0,-775101502.0
BK1273,体育Ⅱ,915.76,-1.4,-55068366.0,-9.27,-21457855.0,-3.61,-33610511.0,-5.66,-8224650.0,-1.38,63293017.0,10.65,-203138855.0,-449168331.0
BK1267,造纸,2449.25,0.37,-57634462.0,-1.63,-21320958.0,-0.6,-36313504.0,-1.03,-110540832.0,-3.13,120004624.0,3.4,-815113848.0,-860691000.0
BK1258,饲料,3065.72,0.7,-62923554.0,-3.02,-18116866.0,-0.87,-44806688.0,-2.15,-30513904.0,-1.46,97129664.0,4.66,-319621477.0,-646278177.0
BK1234,环保设备Ⅱ,3814.49,-0.22,-65347312.0,-0.78,-139133744.0,-1.66,73786432.0,0.88,66778384.0,0.8,197824.0,0.0,134842256.0,-1597188528.0
BK0725,装修装饰Ⅱ,880.64,0.37,-66327728.0,-1.87,-46769536.0,-1.32,-19558192.0,-0.55,-8501600.0,-0.24,74829328.0,2.11,-161166996.0,-903622042.0
BK1255,林业Ⅱ,4298.09,0.47,-69345547.0,-7.94,4384771.0,0.5,-73730318.0,-8.44,-56438123.0,-6.46,125783664.0,14.4,-367647193.0,-687633962.0
BK1028,燃气Ⅱ,1865.46,0.5,-79203008.0,-1.34,-73321184.0,-1.24,-5881824.0,-0.1,-32987584.0,-0.56,120709440.0,2.05,-215508992.0,111139203.0
BK0484,贸易Ⅱ,10111.36,0.68,-80902099.0,-3.34,-34684787.0,-1.43,-46217312.0,-1.91,5767472.0,0.24,75134608.0,3.1,-160780277.0,-741684375.0
BK1222,影视院线,3312.24,0.34,-89474640.0,-1.58,-27135360.0,-0.48,-62339280.0,-1.1,70656464.0,1.25,18818176.0,0.33,-846629036.0,-1931006236.0
BK1227,特钢Ⅱ,2135.43,0.87,-93610432.0,-2.45,-104821296.0,-2.74,11210864.0,0.29,107669504.0,2.82,-14059040.0,-0.37,100406134.0,-92114620.0
BK1245,照明设备Ⅱ,3088.49,-0.34,-100446501.0,-3.41,-56180357.0,-1.91,-44266144.0,-1.5,40122912.0,1.36,75980944.0,2.58,64241170.0,189162521.0
BK1266,文娱用品,3192.89,-0.35,-100811654.0,-4.16,-37077174.0,-1.53,-63734480.0,-2.63,-20326064.0,-0.84,121137712.0,5.0,-262029653.0,-392230636.0
BK1043,专业服务,1533.73,0.72,-102027616.0,-1.34,-20072256.0,-0.26,-81955360.0,-1.08,-50421312.0,-0.66,171215904.0,2.25,-147111584.0,159666448.0
BK1230,航海装备Ⅱ,5011.1,1.55,-102884544.0,-1.26,-43052192.0,-0.53,-59832352.0,-0.73,-49145184.0,-0.6,152029728.0,1.86,114270880.0,-769423168.0
BK1241,黑色家电,4253.07,-0.47,-103731312.0,-2.75,25561552.0,0.68,-129292864.0,-3.43,-25127872.0,-0.67,128859168.0,3.42,-208134506.0,-922325316.0
BK1042,医药商业,1012.26,-0.43,-104271545.0,-3.52,-53820841.0,-1.82,-50450704.0,-1.7,57428512.0,1.94,46843024.0,1.58,-221143913.0,-825911989.0
BK1244,小家电,2169.94,0.04,-116147636.0,-3.89,-99255012.0,-3.32,-16892624.0,-0.57,61990768.0,2.08,58011312.0,1.94,-536438865.0,-1108041881.0
BK1246,房屋建设Ⅱ,1807.35,-0.68,-119489040.0,-4.72,-73040592.0,-2.88,-46448448.0,-1.83,10967632.0,0.43,108521408.0,4.28,-504056935.0,-442561376.0
BK0740,教育,530.43,-1.3,-125831774.0,-7.1,-83101454.0,-4.69,-42730320.0,-2.41,21501744.0,1.21,104330016.0,5.88,-409932702.0,-693627089.0
BK1225,服装家纺,2382.37,-0.6,-127268688.0,-1.49,-130324336.0,-1.52,3055648.0,0.04,172901088.0,2.02,-44687936.0,-0.52,-531984576.0,-1007919807.0
BK1218,出版,1801.71,0.7,-127299305.0,-4.36,-59300841.0,-2.03,-67998464.0,-2.33,-5716368.0,-0.2,133015680.0,4.56,-574698952.0,-611325078.0
BK1281,休闲食品,2022.06,-0.12,-127512513.0,-5.25,-89815073.0,-3.69,-37697440.0,-1.55,13131712.0,0.54,114380784.0,4.71,-194550056.0,-323265180.0
BK1279,非白酒,1924.14,-0.27,-129938338.0,-4.96,-38500930.0,-1.47,-91437408.0,-3.49,-29839440.0,-1.14,159777776.0,6.1,-1176613869.0,-1204765311.0
BK0421,铁路公路,8044.19,-0.12,-130009840.0,-3.23,-60072320.0,-1.49,-69937520.0,-1.74,-3618880.0,-0.09,133628736.0,3.32,-455348064.0,-703547088.0
BK1263,摩托车及其他,3317.35,0.06,-137295018.0,-4.13,-56802330.0,-1.71,-80492688.0,-2.42,-30499136.0,-0.92,168768080.0,5.08,-91785752.0,-206844420.0
BK1256,农产品加工,2109.8,-1.02,-164981277.0,-5.42,-140061165.0,-4.6,-24920112.0,-0.82,8995248.0,0.3,147582624.0,4.85,-668513791.0,-910768583.0
BK1254,动物保健Ⅱ,4125.63,0.3,-165746679.0,-8.47,-95357623.0,-4.87,-70389056.0,-3.6,27670480.0,1.41,142907856.0,7.3,-45007952.0,82006832.0
BK0482,一般零售,15736.34,0.03,-172052688.0,-2.06,-61303952.0,-0.73,-110748736.0,-1.32,-40156112.0,-0.48,212208800.0,2.54,-1078175728.0,-2297966512.0
BK1040,中药Ⅱ,1228.41,-0.4,-197620416.0,-1.93,-180204832.0,-1.76,-17415584.0,-0.17,164291840.0,1.61,36437904.0,0.36,-796295536.0,-1679571088.0
BK0539,综合Ⅱ,11625.65,0.46,-201911040.0,-3.28,-48726368.0,-0.79,-153184672.0,-2.49,-18448304.0,-0.3,220359328.0,3.58,-114522224.0,-164592288.0
BK0422,物流,6649.83,-0.29,-223971856.0,-3.86,-142405136.0,-2.46,-81566720.0,-1.41,-21460768.0,-0.37,245924896.0,4.24,-596700706.0,-1222169869.0
BK1041,医疗器械,889.45,-0.39,-233953152.0,-0.93,-194930560.0,-0.77,-39022592.0,-0.15,258491136.0,1.02,-45017600.0,-0.18,-54193200.0,-1028539616.0
BK1032,风电设备,1435.79,0.22,-234428192.0,-1.73,-214142640.0,-1.58,-20285552.0,-0.15,15059920.0,0.11,168312064.0,1.24,-107655808.0,-3128677232.0
BK0424,水泥,25836.81,-0.15,-238777590.0,-6.39,-173348342.0,-4.64,-65429248.0,-1.75,89431056.0,2.39,149346528.0,4.0,-471769151.0,-906519218.0
